No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts,
VFO-A,Digital CH,HOTSPOT,438.50000,438.50000,Low,180S,No,1,12.5K,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot2,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG9 LCL TS2,Custom,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,Priority Contacts: TG8 Region,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
VFO-B,Analog CH,F5ZAD,145.60000,145.00000,Low,180S,No,1,2.5K,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
1,Analog CH,F5ZAD R0,145.60000,145.00000,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,Custom,Priority Contacts: TG2 Europe,Priority Contacts: TG13 WW English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,OFF,TX Contact,
2,Digital CH,F1ZGO R0,430.05000,439.45000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,None,RX ALL,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
3,Digital CH,HOTSPOT,438.45000,438.45000,Mid,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot2,radio-1,1,No,Normal Mode,1,No,Always,None,None,None,Custom,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG99 Simplex,Priority Contacts: TG8 Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
4,Analog CH,PMR 1,446.00625,446.00625,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,OFF,TX Contact,
5,Analog CH,PMR 2,446.01875,446.01875,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,OFF,TX Contact,
6,Analog CH,PMR 3,446.03125,446.03125,Low,0S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
7,Analog CH,PMR 4,446.04375,446.04375,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
8,Analog CH,PMR 5,446.05625,446.05625,Low,180S,No,1,No,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot1,radio-2,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG2 Europe,DMR-FR,Priority Contacts: F1ZGO TG208 FR,Priority Contacts: TG8 Region,Priority Contacts: TG21 EU French,Priority Contacts: TG208 FR TS1,Priority Contacts: TG9 LCL TS2,Priority Contacts: TG11 WW French,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
